id,data_reclamacao,estado,regiao,categoria,status,texto
384,2024-02-02,PR,Sul,Telecomunicações,Resolvida,"Bom dia, contratei o plano de internet de 300 mega da Tim no dia 08.02.2023 e até hoje a velocidade não passa de 15 mega. Inclusive já fiz três protocolos e ninguém resolve.  Vou registrar no Procon."
385,2023-03-20,SP,Sudeste,Comércio Eletrônico,Em análise,vergonhoso
386,2023-03-10,GO,Centro-Oeste,Bancos e Cartões,Não resolvida,"O aplicativo do Banco do Brasil fica fora do ar há 90 dias, o que me impede de fazer pagamentos no prazo e gera multas e juros desnecessários."
387,2024-03-25,RO,Norte,Bancos e Cartões,Não resolvida,"sou cliente do Nubank ha 10 anos e me trataram super mal até hoje na agencia, ninguem se importa em resolver os problemas"
388,2024-06-28,PR,Sul,Imobiliário,Resolvida,"Atendimento da Tenda é péssimo, ninguém resolve nada."
389,2023-08-11,RS,Sul,Comércio Eletrônico,Não resolvida,péssimo
390,2024-03-17,SC,Sul,Bancos e Cartões,Resolvida,Fui ao caixa eletrônico do Santander no dia 29-03-2023 e a máquina engoliu meu cartão sem fornecer recibo. Eu já procurei a agência e ninguem deu solução.  Atenciosamente.
391,2023-01-24,SP,Sudeste,Energia Elétrica,Não resolvida,"Solicitei religação após pagamento da fatura no dia 02-01-2024 e até hoje, 5 dias depois, sigo sem energia."
392,2024-11-29,MG,Sudeste,Comércio Eletrônico,Resolvida,FAZ 60 DIAS QUE NÃO RECEBO MEU PEDIDO!!! A Amazon É UMA VERGONHA!!! VOU ENTRAR NA JUSTIÇA.  Quero cancelar tudo agora. 😠😩💸
393,2024-06-04,GO,Centro-Oeste,Comércio Eletrônico,Não resolvida,"comprei pra presentear, chegou ATRASADO E QUEBRADO, ja fiz protocolo umas 5 vezes na Kabum"
394,2023-11-26,PR,Sul,Bancos e Cartões,Resolvida,péssimo banco
395,2024-12-29,RJ,Sudeste,Telecomunicações,Resolvida,Contratei o plano de internet de 600 mega da Oi no dia 18 de outubro e até hoje a velocidade não passa de 10 mega. Já fiz 3 protocolos e ninguem resolve.  Vou processar a empresa.
396,2024-06-29,PR,Sul,Telecomunicações,Em análise,ok
397,2024-09-20,CE,Nordeste,Imobiliário,Resolvida,"Atendimento da Tenda é péssimo, ninguém resolve nada.  Estou indignado."
398,2024-12-10,TO,Norte,Bancos e Cartões,Não resolvida,A taxa de juros do cheque especial saltou de 6% para 12% sem aviso prévio. Me sinto enganada como cliente há mais de 15 anos.  Vou registrar no Procon.
399,2023-03-23,MG,Sudeste,Seguros,Não resolvida,Tenho problemas recorrentes com a Porto Seguro há meses. Já não confio mais.  Aguardo retorno.
400,2024-10-29,MG,Sudeste,Imobiliário,Resolvida,"Atendimento da Tenda é inaceitável, ninguém resolve nada.  Espero solução urgente."
401,2024-12-07,SP,Sudeste,Saneamento,Não resolvida,Tenho problemas recorrentes com a Caesb há meses. Eu já naum confio mais.
402,2023-09-20,DF,Centro-Oeste,Telecomunicações,Não resolvida,ESTOU SEM INTERNET HÁ 90 DIAS E A Vivo NÃO MANDA TÉCNICO!!!!!!!!!!!! ISSO É UM ABSURDO!!!!!!!!!!!! TENHO REUNIÕES IMPORTANTES E NINGUÉM RESOLVE...  Quero cancelar tudo agora... Por favor entrem em contato no e-mail carlos@uol.com.br.
403,2024-11-06,BA,Nordeste,Comércio Eletrônico,Resolvida,"Comprei um PlayStation 5 na Mercado Livre, paguei R$ 39,51, e o produto chegou diferente do anunciado. Eu já tentei resolver pela central e fui ignorado."
404,2023-06-22,MG,Sudeste,Telecomunicações,Resolvida,"Solicitei o estorno do valor R$ 609,19

Veja detalhes em https://www.consumidor.gov.br/protocolo/12345

Aguardo retorno."
405,2023-06-08,MT,Centro-Oeste,Transporte Aéreo,Resolvida,"voo atrasou 8 horas, perdi conexao, a Azul nao deu nem agua direito, isso é desrespeito com o consumidor"
406,2023-08-12,SC,Sul,Transporte Aéreo,Sem resposta da empresa,"voo atrasou 8 horas, perdi conexao, a LATAM nao deu nem agua direito, isso é desrespeito com o consumidor.  Não recomendo a empresa."
407,2024-11-15,SP,Sudeste,Bancos e Cartões,Resolvida,Solicitei o cancelamento do meu cartão de crédito no aplicativo do Banco do Brasil e continuei recebendo cobranças de anuidade.
408,2024-12-13,SP,Sudeste,Educação,Em análise,A Estácio não respondeu ao meu protocolo nº 6267540.  Espero solução urgente.
409,2023-10-17,RS,Sul,Comércio Eletrônico,Resolvida,Comprei um produto na Casas Bahia no dia 16/09/2023 e até agora não recebi. O prazo era de 10 dias e já se passaram 25.
410,2024-12-05,RO,Norte,Energia Elétrica,Em análise,A luz caiu na minha rua às 16h38 de 01/05/23 e voltou apenas no dia seguinte. Perdi todos os alimentos do freezer.
411,2023-03-31,GO,Centro-Oeste,Telecomunicações,Resolvida,Contratei portabilidade da Tim para a SKY e fiquei 5 dias sem linha funcionando. Perdi negócios importantes nesse período.
412,2024-05-27,RJ,Sudeste,Telecomunicações,Não resolvida,"Olá, tim cobrou 6 faturas duplicadas no meu cartao, ja contestei e ninguem resolve, isso nao pode ser certo 👎"
413,2023-02-13,PE,Nordeste,Imobiliário,Sem resposta da empresa,Worst customer service ever. I tried to contact them five times with no answer. I want a refund.
414,2024-12-06,GO,Centro-Oeste,Seguros,Sem resposta da empresa,"Atendimento da SulAmérica é péssimo, ninguém resolve nada."
415,2023-04-19,BA,Nordeste,Energia Elétrica,Resolvida,"Boa tarde, solicitei religação após pagamento da fatura no dia 6 de janeiro e até hoje, 5 dias depois, sigo sem energia. Por favor entrem em contato no e-mail joaopedro123@hotmail.com."
416,2024-10-31,CE,Nordeste,Telecomunicações,Resolvida,A internet caiu há 10 dias e a Vivo naum dá previsão de retorno. Trabalho de casa e estou sem condições de exercer minhas atividades.
417,2024-09-28,SC,Sul,Educação,Em análise,A Anhanguera não respondeu ao meu protocolo nº 9506659.  Vou processar a empresa.
418,2023-10-30,CE,Nordeste,Telecomunicações,Resolvida,"Prezados, estou sendo cobrado por um serviço de assinatura q nunca contratei. O valor de R$ 424,47 aparece na minha fatura há 10 meses."
419,2023-02-14,GO,Centro-Oeste,Saúde — Planos,Não resolvida,"O Bradesco Saúde cancelou meu plano alegando inadimplência, mas tenho todos os comprovantes de pagamento em dia."
420,2024-04-23,SP,Sudeste,Energia Elétrica,Resolvida,A luz caiu na minha rua às 14h28 de 10.08.2024 e voltou apenas no dia seguinte. Perdi todos os alimentos do freezer.
421,2023-12-24,RJ,Sudeste,Imobiliário,Não resolvida,Tenho problemas recorrentes com a Cyrela há meses. Já nunca confio mais.
422,2023-02-09,SP,Sudeste,Bancos e Cartões,Não resolvida,"perdi meu cartao no domingo, liguei na hora pra bloquear, e mesmo assim fizeram compra de R$ 974,20 no shopping. quero meu dinheiro de volta urgente"
423,2023-05-04,MG,Sudeste,Comércio Eletrônico,Não resolvida,"comprei pra presentear, chegou ATRASADO E QUEBRADO, ja fiz protocolo umas 5 vezes na Casas Bahia"
424,2023-08-21,SP,Sudeste,Telecomunicações,Sem resposta da empresa,"A Tim aumentou a mensalidade do meu plano de R$ 194 para R$ 85,26 sem aviso prévio. Considero isso prática abusiva.  Já não tenho paciência. Meu CPF é 111.222.333-44 para confirmação."
425,2023-06-07,BA,Nordeste,Bancos e Cartões,Sem resposta da empresa,"perdi meu cartao no domingo, liguei na hora pra bloquear, e mesmo assim fizeram compra de R$ 29,26 no shopping. quero meu dinheiro de volta urgente"
426,2024-04-25,PE,Nordeste,Saúde — Planos,Em análise,"Sulamérica demorou 10 dias pra autorizar uma cirurgia de urgencia, isso é jogar com a vida das pessoas"
427,2024-10-16,BA,Nordeste,Telecomunicações,Resolvida,Net cobrou 6 faturas duplicadas no meu cartao ja contestei e ninguem resolve isso nao pode ser certo
428,2024-03-24,DF,Centro-Oeste,Bancos e Cartões,Resolvida,"Tive uma compra não reconhecida no valor de R$ 220,41 contestada há 14 dias e o Inter não retornou com nenhuma resposta.  Vou registrar no Procon."
429,2023-04-24,MA,Nordeste,Seguros,Resolvida,Tenho problemas recorrentes com a Porto Seguro há meses. Já não confio mais.
430,2024-07-07,GO,Centro-Oeste,Educação,Em análise,"Atendimento da Kroton é péssimo, ninguém resolve nada. Meu CPF é 123.456.789-00 para confirmação."
431,2023-11-10,MA,Nordeste,Bancos e Cartões,Resolvida,Worst customer service ever. I tried to contact them five times with no answer. I want a refund.
432,2024-05-16,MS,Centro-Oeste,Telecomunicações,Resolvida,Contratei o plano de internet de 600 mega da SKY no dia 28/04/2024 e até até o momento a velocidade não passa de 15 mega. Já fiz três protocolos e ninguem resolve.  Estou indignado.
433,2024-04-06,CE,Nordeste,Transporte Aéreo,Não resolvida,"Bom dia, minha bagagem foi extraviada no voo de 27-03-2023 e a Azul se recusa a indenizar pelo valor declarado."
434,2023-09-21,CE,Nordeste,Telecomunicações,Resolvida,Contratei o plano de internet de 500 mega da Tim no dia 19 de janeiro e até hoje a velocidade nunca passa de 25 mega. Inclusive já fiz três protocolos e ninguém resolve.
435,2024-01-01,SP,Sudeste,Telecomunicações,Resolvida,Contratei portabilidade da Tim para a Vivo e fiquei 30 dias sem linha funcionando. Perdi negócios importantes nesse período.
436,2023-04-15,RJ,Sudeste,Saúde — Planos,Resolvida,"plano negou meu exame de novo, ja é a 2a vez esse ano, isso é cobertura ou que? pago certinho todo mes.  Estou indignado."
437,2024-09-27,GO,Centro-Oeste,Comércio Eletrônico,Resolvida,Comprei um produto na Kabum no dia 10.11.2023 e até agora não recebi. O prazo era de 10 dias e já se passaram 25.
438,2024-08-29,RJ,Sudeste,Bancos e Cartões,Sem resposta da empresa,horrível
439,2024-12-06,RS,Sul,Comércio Eletrônico,Em análise,
440,2023-05-08,RO,Norte,Saneamento,Em análise,"Prezados, a Sanepar jamais respondeu ao meu protocolo nº 6376900."
441,2023-12-08,RJ,Sudeste,Telecomunicações,Não resolvida,"Boa noite, meu plano de telefonia da SKY parou de funcionar após uma atualização do sistema, e há 45 dias não consigo fazer ligações."
442,2023-12-30,PB,Nordeste,Comércio Eletrônico,Resolvida,O produto chegou com defeito e a Casas Bahia insiste que eu pague o frete da devolução. Isso é ilegal segundo o CDC.  Vou registrar no Procon.
443,2023-03-26,BA,Nordeste,Saúde — Planos,Em análise,Meu plano de saúde Bradesco Saúde negou autorização para um exame solicitado pelo médico em 28/12/24. Sem justificativa adequada. Meu telefone para retorno: (85) 98765-1234.
444,2024-06-13,RJ,Sudeste,Bancos e Cartões,Resolvida,Fui ao caixa eletrônico do Caixa no dia 16/04/2024 e a máquina engoliu meu cartão sem fornecer recibo. Já procurei a agência e ninguem deu solução.
445,2024-02-29,RN,Nordeste,Comércio Eletrônico,Em análise,"Comprei um tablet na Americanas, paguei R$ 71,48, e o produto chegou diferente do anunciado. Eu já tentei resolver pela central e fui ignorado.  Aguardo retorno."
446,2024-05-18,GO,Centro-Oeste,Transporte Aéreo,Resolvida,Voo da Azul cancelado sem aviso prévio em 07/07/2024. Perdi compromisso de trabalho importante e até hoje nunca obtive reembolso.  Espero solução urgente.
447,2023-01-13,SP,Sudeste,Comércio Eletrônico,Não resolvida,"comprei uma TV de 37 mil reais na Mercado Livre e quando chegou tava toda quebrada, mandei a foto e ngm resolve 😩"
448,2024-02-21,BA,Nordeste,Comércio Eletrônico,Não resolvida,"Cancelei o pedido por falta de prazo de entrega e até hoje, 40 dias depois, não recebi o estorno de R$ 497,58.  Quero cancelar tudo agora."
449,2024-08-28,SP,Sudeste,Bancos e Cartões,Não resolvida,"ROUBARAM MEU CARTÃO E O Nubank NÃO QUER ESTORNAR!!!!!!!!!!!! 5 COMPRAS QUE EU NÃO FIZ NO TOTAL DE R$ 1...814,36!!!!!!!!!!!! ABSURDO!!!!!!!!!!!!"
450,2023-12-23,SP,Sudeste,Telecomunicações,Resolvida,ruim
451,2024-11-11,RN,Nordeste,Bancos e Cartões,Resolvida,"O aplicativo do Bradesco fica fora do ar há 5 dias, o que me impede de fazer pagamentos no prazo e gera multas e juros desnecessários."
452,2023-10-04,ES,Sudeste,Telecomunicações,Não resolvida,"fala que tem 400 mega mas chega aqui em casa 15 mega no maximo, isso e propaganda enganosa nao? quero meu dinhero de volta.  Atenciosamente."
453,2023-01-19,SP,Sudeste,Comércio Eletrônico,Resolvida,Recebi o produto errado da Magazine Luiza: pedi um notebook e veio um carregador. Solicitei a troca há duas semanas e ninguém retorna.
454,2023-07-17,SP,Sudeste,Bancos e Cartões,Não resolvida,"tava tentando fazer pix e o app ta fora do ar a horas, perdi o prazo de pagamento de boleto e agora vão me cobrar multa, isso é justo??"
455,2024-07-02,MG,Sudeste,Bancos e Cartões,Resolvida,Tomei um empréstimo no Bradesco e os juros foram aplicados em valor diferente do contratado — pagaria R$ 6649 está vindo R$ 54790
456,2024-03-14,RJ,Sudeste,Comércio Eletrônico,Em análise,"comprei uma TV de 38,92 reais na Amazon e quando chegou tava toda quebrada, mandei a foto e ngm resolve"
457,2024-07-25,SP,Sudeste,Comércio Eletrônico,Não resolvida,Olá comprei um produto na Casas Bahia no dia 11/01/2024 e até agora não recebi O prazo era de 10 dias e já se passaram 25
458,2023-06-21,RJ,Sudeste,Bancos e Cartões,Em análise,
459,2023-02-02,SP,Sudeste,Telecomunicações,Resolvida,.
460,2024-01-22,TO,Norte,Bancos e Cartões,Não resolvida,"Prezados, fui ao caixa eletrônico do Santander no dia 31.10.2023 e a máquina engoliu meu cartão sem fornecer recibo. Inclusive já procurei a agência e ninguém deu solução."
461,2024-06-12,GO,Centro-Oeste,Energia Elétrica,Sem resposta da empresa,"Boa noite, recebi conta de luz com valor de R$ 5.841,77 este mês — três vezes maior que a média histórica, mesmo sem mudança de hábitos. A Celpe nunca explica."
462,2023-04-25,BA,Nordeste,Comércio Eletrônico,Em análise,Recebi o produto errado da Casas Bahia: pedi um notebook e veio um carregador. Requisitei a troca há duas semanas e ninguém retorna.
463,2024-10-04,RJ,Sudeste,Comércio Eletrônico,Não resolvida,Comprei um produto na Amazon no dia 05/12/2023 e até agora nunca recebi. O prazo era de 10 dias e já se passaram 25. 😩😤😠
464,2024-06-15,SC,Sul,Transporte Aéreo,Resolvida,"voo atrasou 8 horas, perdi conexao, a Gol nao deu nem agua direito, isso é desrespeito com o consumidor"
465,2024-03-20,DF,Centro-Oeste,Bancos e Cartões,Não resolvida,"Eu tive uma compra não reconhecida no valor de R$ 965,11 contestada há 10 dias e o Bradesco não retornou com nenhuma resposta.  Vou processar a empresa. Meu CPF é 987.654.321-11 para confirmação."
466,2024-10-23,PR,Sul,Bancos e Cartões,Sem resposta da empresa,"Tive uma compra não reconhecida no valor de R$ 87,72 contestada há 60 dias e o Caixa não retornou com nenhuma resposta.  Espero solução urgente."
467,2024-03-14,SP,Sudeste,Energia Elétrica,Em análise,"Olá, eSTOU SEM LUZ HÁ 3 DIAS!!! TEMOS IDOSOS EM CASA QUE PRECISAM DE EQUIPAMENTOS LIGADOS!!! É UMA QUESTÃO DE SAÚDE!!!"
468,2024-03-30,MG,Sudeste,Educação,Não resolvida,"Boa noite, a Yduqs não respondeu ao meu protocolo nº 5374339.  Atenciosamente."
469,2023-05-28,RJ,Sudeste,Comércio Eletrônico,Sem resposta da empresa,"Bom dia, comprei um fone bluetooth na Casas Bahia, paguei R$ 277,54, e o produto chegou diferente do anunciado. Inclusive já tentei resolver pela central e fui ignorado."
470,2023-06-04,DF,Centro-Oeste,Comércio Eletrônico,Sem resposta da empresa,FAZ 60 DIAS QUE NÃO RECEBO MEU PEDIDO!!! A Casas Bahia É UMA VERGONHA!!! VOU ENTRAR NA JUSTIÇA!!!
471,2024-03-31,SP,Sudeste,Telecomunicações,Em análise,Contratei o plano de internet de 500 mega da Tim no dia 30-05-2023 e até até hoje a velocidade não passa de 25 mega. Já fiz três protocolos e ninguém resolve.
472,2023-09-26,AM,Norte,Telecomunicações,Não resolvida,Estou sendo cobrado por um serviço de assinatura que nunca contratei. O valor de R$ 410 aparece na minha fatura há 6 meses.
473,2024-06-02,RJ,Sudeste,Saúde — Planos,Não resolvida,"Em 17-02-2024, o Sulamérica negou cobertura para uma consulta de urgência alegando carência. Considero abusivo.  Quero cancelar tudo agora. Meu CPF é 123.456.789-00 para confirmação."
474,2024-04-04,SP,Sudeste,Energia Elétrica,Não resolvida,"ta sem luz aqui no bairro a 2 dias, perdi tudo que tinha na geladeira e a CPFL nao da satisfação.  Espero solução urgente."
475,2023-12-21,MT,Centro-Oeste,Comércio Eletrônico,Em análise,"Boa noite, comprei um smartphone na Mercado Livre, paguei R$ 2.611,65, e o produto chegou diferente do anunciado. Já tentei resolver pela central e fui ignorado.  Atenciosamente."
476,2023-06-13,BA,Nordeste,Telecomunicações,Resolvida,"fala q tem 600 mega mas chega aqui em casa 30 mega no maximo, isso e propaganda enganosa nao? quero meu dinhero de volta"
477,2023-01-25,SP,Sudeste,Telecomunicações,Não resolvida,"A SKY aumentou a mensalidade do meu plano de R$ 896,28 para R$ 97,34 sem aviso prévio. Considero isso prática abusiva.  Vou processar a empresa."
478,2023-12-01,PA,Norte,Comércio Eletrônico,Não resolvida,"Cancelei o pedido por falta de prazo de entrega e até hoje, 40 dias depois, não recebi o estorno de R$ 20,21."
479,2023-09-07,GO,Centro-Oeste,Comércio Eletrônico,Não resolvida,"ja é a 4a vez que tento devolver um produto pra Amazon e eles ficam empurrando, isso é prática abusiva"
480,2023-04-19,MG,Sudeste,Saúde — Planos,Resolvida,Amil demorou 90 dias pra autorizar uma cirurgia de urgencia isso é jogar com a vida das pessoas 🤬😠😡
481,2024-04-10,AM,Norte,Telecomunicações,Não resolvida,"Meu plano de telefonia da Claro parou de funcionar após uma atualização do sistema, e há 14 dias não consigo fazer ligações.  Atenciosamente."
482,2024-03-28,BA,Nordeste,Comércio Eletrônico,Resolvida,Comprei um produto na Americanas no dia 20.07.2024 e até agora naum recebi. O prazo era de 10 dias e já se passaram 25.  Espero solução urgente. Por favor entrem em contato no e-mail carlos@uol.com.br.
483,2023-01-29,SP,Sudeste,Telecomunicações,Não resolvida,"Estou sendo cobrado por um serviço de assinatura que nunca contratei. O valor de R$ 801,19 aparece na minha fatura há 5 meses."
484,2024-04-06,PE,Nordeste,Saúde — Planos,Resolvida,"Bom dia, o Sulamérica cancelou meu plano alegando inadimplência, mas tenho todos os comprovantes de pagamento em dia. 😤😠🤬"
485,2023-07-09,PR,Sul,Telecomunicações,Resolvida,"Já estou sendo cobrado por um serviço de assinatura que nunca contratei. O valor de R$ 8.146,73 aparece na minha fatura há 10 meses."
486,2023-01-26,PR,Sul,Transporte Aéreo,Não resolvida,Voo da LATAM cancelado sem aviso prévio em 26/08/2023. Perdi compromisso de trabalho importante e até hoje não obtive reembolso.
487,2024-04-28,RS,Sul,Bancos e Cartões,Não resolvida,"O aplicativo do Itaú fica fora do ar há 45 dias, o que me impede de fazer pagamentos no prazo e gera multas e juros desnecessários."
488,2024-11-07,CE,Nordeste,Bancos e Cartões,Em análise,"Tomei um empréstimo no Inter e os juros foram aplicados em valor diferente do contratado — pagaria R$ 563,63, está vindo R$ 33 mil.  Vou processar a empresa."
489,2024-11-04,RJ,Sudeste,Comércio Eletrônico,Resolvida,"Cancelei o pedido por falta de prazo de entrega e até hoje, 40 dias depois, não recebi o estorno de R$ 80 mil."
490,2023-03-09,AL,Nordeste,Telecomunicações,Não resolvida,"Oi cobrou 5 faturas duplicadas no meu cartao, ja contestei e ninguem resolve, isso nao pode ser certo."
491,2024-11-09,DF,Centro-Oeste,Energia Elétrica,Em análise,
492,2023-05-04,PR,Sul,Comércio Eletrônico,Não resolvida,péssima loja
493,2024-01-14,SP,Sudeste,Telecomunicações,Não resolvida,"Solicitei o cancelamento do plano em 27-08-2024 e continuei sendo cobrado. Eu já enviei e-mail, liguei na central e nada foi feito."
494,2023-10-19,MG,Sudeste,Telecomunicações,Não resolvida,"Olá, solicitei o cancelamento do plano em 31/05/2023 e continuei sendo cobrado. Já enviei e-mail, liguei na central e nada foi feito."
495,2024-07-14,RJ,Sudeste,Imobiliário,Em análise,"Boa tarde, a MRV não respondeu ao meu protocolo nº 6466994.  Quero cancelar tudo agora."
496,2024-03-06,GO,Centro-Oeste,Telecomunicações,Não resolvida,"Meu plano de telefonia da Net parou de funcionar após uma atualização do sistema, e há 60 dias não consigo fazer ligações."
497,2024-07-02,MA,Nordeste,Comércio Eletrônico,Sem resposta da empresa,"produto nao chegou no prazo, ja faz 1 mes do prazo de entrega, queria muito esse smartphone pro aniversario do meu filho.  Estou indignado."
498,2024-03-24,SP,Sudeste,Imobiliário,Em análise,Tenho problemas recorrentes com a Cyrela há meses. Já não confio mais.
499,2024-05-05,MG,Sudeste,Bancos e Cartões,Sem resposta da empresa,"Olá, solicitei o cancelamento do meu cartão de crédito no aplicativo do Nubank e continuei recebendo cobranças de anuidade.  Espero solução urgente. 🤬💸 Por favor entrem em contato no e-mail joaopedro123@hotmail.com."
500,2024-08-31,MG,Sudeste,Bancos e Cartões,Resolvida,Tive uma compra não reconhecida no valor de R$ 301 contestada há 10 dias e o Inter não retornou com nenhuma resposta.
501,2024-10-28,MA,Nordeste,Transporte Aéreo,Resolvida,ATRASARAM MEU VOO 6 HORAS E NÃO ME DERAM ASSISTÊNCIA NENHUMA.  Estou indignado.
502,2024-04-21,PB,Nordeste,Telecomunicações,Resolvida,cancelei o plano e continuam cobrando ja é a 5a vez q ligo ng resolve vc descontam direto do meu cartao e eu nao consigo bloquear
503,2024-09-17,PA,Norte,Educação,Resolvida,Tenho problemas recorrentes com a Yduqs há meses. Já jamais confio mais.
504,2024-06-16,SP,Sudeste,Bancos e Cartões,Resolvida,O aplicativo do Inter fica fora do ar há 10 dias o que me impede de fazer pagamentos no prazo e gera multas e juros desnecessários  Espero solução urgente
505,2024-03-19,MT,Centro-Oeste,Comércio Eletrônico,Não resolvida,"Eu comprei um iPhone 13 na Casas Bahia, paguei R$ 189, e o produto chegou diferente do anunciado. Já tentei resolver pela central e fui ignorado."
506,2024-08-04,RO,Norte,Telecomunicações,Sem resposta da empresa,"cancelei o plano e continuam cobrando, ja é a 3a vez q ligo, ng resolve, vc descontam direto do meu cartao e eu nao consigo bloquear"
507,2023-04-30,RS,Sul,Comércio Eletrônico,Não resolvida,"Prezados, comprei um produto na Magazine Luiza no dia 02.03.2024 e até agora não recebi. O prazo era de 10 dias e já se passaram 25."
508,2023-02-01,SP,Sudeste,Telecomunicações,Resolvida,"Liguei pra Tim pra pedir suporte tecnico e ninguem entende oq eu falo, parece q tao lendo um script, ja perdi a tarde inteira.  Vou registrar no Procon."
509,2024-01-23,CE,Nordeste,Saúde — Planos,Resolvida,REAJUSTE DE 32% NO MEU PLANO Amil!!!!!!!!!!!! ISSO É ABUSIVO!!!!!!!!!!!! Por favor entrem em contato no e-mail joaopedro123@hotmail.com.
510,2023-01-23,SP,Sudeste,Telecomunicações,Não resolvida,ruim
511,2023-06-04,SP,Sudeste,Comércio Eletrônico,Resolvida,0/10
512,2024-03-22,PR,Sul,Saúde — Planos,Em análise,"Em 10.09.2024, o Sulamérica negou cobertura para uma consulta de urgência alegando carência. Considero abusivo."
513,2023-12-14,SC,Sul,Bancos e Cartões,Não resolvida,"Boa tarde, rOUBARAM MEU CARTÃO E O Banco do Brasil NÃO QUER ESTORNAR!!! 3 COMPRAS QUE EU NÃO FIZ NO TOTAL DE R$ 67!!! ABSURDO.  Vou processar a empresa."
514,2024-09-04,SP,Sudeste,Telecomunicações,Em análise,"Prezados, solicitei o cancelamento do plano em 18/10/24 e continuei sendo cobrado. Já enviei e-mail, liguei na central e nada foi feito.  Estou indignado."
515,2024-05-23,SP,Sudeste,Comércio Eletrônico,Resolvida,"ja é a 4a vez que tento devolver um produto pra Kabum e eles ficam empurrando, isso é prática abusiva"
516,2024-12-17,PE,Nordeste,Telecomunicações,Resolvida,"to com problema com a Vivo a 6 messes ja, internet ruim e ngm resolve, ja paguei tudo direitinho mas o servico continua pessimo. ja perdi a paciencia 😤😡😠"
517,2023-04-07,RJ,Sudeste,Telecomunicações,Não resolvida,"Meu plano de telefonia da Vivo parou de funcionar após uma atualização do sistema, e há 45 dias não consigo fazer ligações."
518,2024-10-23,SP,Sudeste,Telecomunicações,Resolvida,"Solicitei o cancelamento do plano em 21/02/23 e continuei sendo cobrado. Já enviei e-mail, liguei na central e nada foi feito."
519,2024-06-19,AM,Norte,Bancos e Cartões,Não resolvida,"O aplicativo do Nubank fica fora do ar há 90 dias, o q me impede de fazer pagamentos no prazo e gera multas e juros desnecessários."
520,2024-07-20,RJ,Sudeste,Seguros,Não resolvida,Tenho problemas recorrentes com a Bradesco Seguros há meses. Eu já naum confio mais. 😠🤬
521,2023-04-07,RO,Norte,Telecomunicações,Sem resposta da empresa,Contratei portabilidade da Oi para a Claro e fiquei 10 dias sem linha funcionando Perdi negócios importantes nesse período  Já não tenho paciência
522,2023-01-12,PR,Sul,Telecomunicações,Em análise,"fala que tem 1000 mega mas chega aqui em casa 30 mega no maximo, isso e propaganda enganosa nao? quero meu dinhero de volta"
523,2024-09-06,SC,Sul,Energia Elétrica,Em análise,"Solicitei religação após pagamento da fatura no dia 14 de agosto e até hoje, 5 dias depois, sigo sem energia."
524,2023-07-31,SP,Sudeste,Telecomunicações,Resolvida,Contratei o plano de internet de 600 mega da Vivo no dia 15.01.2023 e até até o momento a velocidade não passa de 25 mega. Já fiz três protocolos e ninguém resolve.
525,2024-02-28,SP,Sudeste,Saúde — Planos,Resolvida,"Prezados, meu plano de saúde Hapvida negou autorização para um exame solicitado pelo médico em 14 de outubro. Sem justificativa adequada.  Já naum tenho paciência. 👎😭😩"
526,2023-12-10,SP,Sudeste,Telecomunicações,Resolvida,"Oi cobrou 3 faturas duplicadas no meu cartao, ja contestei e ninguem resolve, isso nao pode ser certo"
527,2024-12-17,GO,Centro-Oeste,Bancos e Cartões,Não resolvida,"Boa noite, tomei um empréstimo no Bradesco e os juros foram aplicados em valor diferente do contratado — pagaria R$ 528,85, ta vindo R$ 3.965,58.  Espero solução urgente."
528,2023-05-04,SP,Sudeste,Saúde — Planos,Em análise,Estou tentando agendar uma consulta com cardiologista pelo Sulamérica há 5 meses e não há vagas em nenhum dos prestadores credenciados.
529,2024-10-23,MG,Sudeste,Saneamento,Resolvida,A Sabesp não respondeu ao meu protocolo nº 9641104.
530,2024-09-27,RS,Sul,Comércio Eletrônico,Resolvida,"ja é a 4a vez que tento devolver um produto pra Kabum e eles ficam empurrando, isso é prática abusiva 😩😭"
531,2023-09-08,BA,Nordeste,Comércio Eletrônico,Resolvida,O produto chegou com defeito e a Mercado Livre insiste que eu pague o frete da devolução. Isso é ilegal segundo o CDC.
532,2024-09-21,SP,Sudeste,Energia Elétrica,Em análise,"Solicitei religação após pagamento da fatura no dia 12/03/2024 e até hoje, 5 dias depois, sigo sem energia."
533,2023-07-03,SP,Sudeste,Comércio Eletrônico,Em análise,0/10
534,2024-04-11,PB,Nordeste,Telecomunicações,Não resolvida,ruim 😭
535,2023-01-17,AC,Norte,Transporte Aéreo,Não resolvida,"voo atrasou 8 horas, perdi conexao, a Azul nao deu nem agua direito, isso é desrespeito com o consumidor."
536,2024-02-01,AP,Norte,Telecomunicações,Não resolvida,A internet caiu há 7 dias e a Oi não dá previsão de retorno. Trabalho de casa e estou sem condições de exercer minhas atividades.  Estou indignado.
537,2023-12-05,ES,Sudeste,Bancos e Cartões,Resolvida,"sou cliente do Nubank ha 8 bastante tempo e me trataram super mal hoje na agencia, ninguem se importa em resolver os problemas.  Atenciosamente."
538,2024-04-22,MG,Sudeste,Bancos e Cartões,Em análise,"sou cliente do Banco do Brasil ha 20 anos e me trataram super mal até o momento na agencia, ninguem se importa em resolver os problemas"
